word,profane,offensive,sexual,mean
friguy                  , -1,  0, -1,  0
frigym                  , -1,  0, -1,  0
gcclit                  ,  0,  0, -2,  0
gccrap                  , -1,  0,  0,  0
ghetto                  ,  0,  1,  0,  0
gipped                  ,  0,  0, -1,  0
gipper                  ,  0,  0, -1,  0
gmclit                  ,  0,  0, -2,  0
gmcrap                  , -1,  0,  0,  0
gnudec                  ,  0,  0, -2,  0
gnudee                  ,  0,  0, -2,  0
gnudef                  ,  0,  0, -2,  0
gnudel                  ,  0,  0, -2,  0
gnudem                  ,  0,  0, -2,  0
gnuden                  ,  0,  0, -2,  0
gnuder                  ,  0,  0, -2,  0
gnudes                  ,  0,  0, -2,  0
gnudev                  ,  0,  0, -2,  0
grippe                  ,  0,  0, -1,  0
grippy                  ,  0,  0, -1,  0
gruppo                  ,  0,  0, -1,  0
gypped                  ,  0,  0, -1,  0
gypper                  ,  0,  0, -1,  0
haboob                  ,  0,  0, -2,  0
harass                  , -1,  0,  0,  0
hassar                  , -1,  0,  0,  0
hassle                  , -1,  0,  0,  0
hatear                  ,  0,  0,  0, -1
hateat                  ,  0,  0,  0, -1
hateau                  ,  0,  0,  0, -1
hateco                  ,  0,  0,  0, -1
hategg                  ,  0,  0,  0, -1
hatenb                  ,  0,  0,  0, -1
hatend                  ,  0,  0,  0, -1
hateng                  ,  0,  0,  0, -1
hatent                  ,  0,  0,  0, -1
hateos                  ,  0,  0,  0, -1
hatepa                  ,  0,  0,  0, -1
hatest                  ,  0,  0,  0, -1
hatetc                  ,  0,  0,  0, -1
hateur                  ,  0,  0,  0, -1
hateva                  ,  0,  0,  0, -1
hateve                  ,  0,  0,  0, -1
hatexp                  ,  0,  0,  0, -1
hatext                  ,  0,  0,  0, -1
hateye                  ,  0,  0,  0, -1
hearse                  , -1,  0,  0,  0
helled                  , -1,  0,  0,  0
hellen                  , -1,  0,  0,  0
heller                  , -1,  0,  0,  0
hellim                  , -1,  0,  0,  0
helluo                  , -1,  0,  0,  0
heppen                  ,  0,  0, -1,  0
hepper                  ,  0,  0, -1,  0
heshed                  ,  0,  0, -1,  0
hipped                  ,  0,  0, -1,  0
hippen                  ,  0,  0, -1,  0
hipper                  ,  0,  0, -1,  0
hippus                  ,  0,  0, -1,  0
hoared                  ,  0, -2, -2,  0
hoarse                  , -1, -2, -2,  0
hoeful                  ,  0, -1, -1,  0
hoeing                  ,  0, -1, -1,  0
honkey                  ,  0,  1,  0,  0
honkie                  ,  0,  1,  0,  0
hooker                  ,  0,  0,  2,  0
huppot                  ,  0,  0, -1,  0
hypped                  ,  0,  0, -1,  0
ianala                  , -1,  0, -1,  0
ianali                  , -1,  0, -1,  0
ianall                  , -1,  0, -1,  0
ianalt                  , -1,  0, -1,  0
ifecks                  , -1,  0, -1,  0
incest                  ,  0,  0,  2,  0
inclit                  ,  0,  0, -2,  0
incrap                  , -1,  0,  0,  0
inhell                  , -1,  0,  0,  0
irapee                  ,  0,  0, -1,  0
irapen                  ,  0,  0, -1,  0
irapet                  ,  0,  0, -1,  0
irclit                  ,  0,  0, -2,  0
ircrap                  , -1,  0,  0,  0
itwatt                  ,  0,  0, -2,  0
jadego                  ,  0, -2,  0,  0
janala                  , -1,  0, -1,  0
janali                  , -1,  0, -1,  0
janall                  , -1,  0, -1,  0
janalt                  , -1,  0, -1,  0
jarsea                  , -1,  0,  0,  0
jarsec                  , -1,  0,  0,  0
jarsee                  , -1,  0,  0,  0
jarsen                  , -1,  0,  0,  0
jarseo                  , -1,  0,  0,  0
jarsep                  , -1,  0,  0,  0
jarseq                  , -1,  0,  0,  0
jarser                  , -1,  0,  0,  0
jarset                  , -1,  0,  0,  0
jerked                  , -1,  0,  0,  0
jerker                  , -1,  0,  0,  0
jerkin                  , -1,  0,  0,  0
jipper                  ,  0,  0, -1,  0
jizzen                  ,  0,  0, -2,  0
